timestamp;char_name;value
2023-01-10T11:54:50.551153;heartRate;86
2023-01-10T11:54:51.556583;heartRate;25
2023-01-10T11:54:52.561549;heartRate;27
2023-01-10T11:54:53.566519;heartRate;55
2023-01-10T11:54:54.570309;heartRate;35
2023-01-10T11:54:55.574290;heartRate;13
2023-01-10T11:54:56.578598;heartRate;34
2023-01-10T11:54:57.583116;heartRate;35
2023-01-10T11:54:58.587592;heartRate;57
2023-01-10T11:54:59.591600;heartRate;94
2023-01-10T11:55:00.595193;heartRate;61
2023-01-10T11:55:01.598772;heartRate;19
2023-01-10T11:55:02.602750;heartRate;100
2023-01-10T11:55:03.606535;heartRate;44
2023-01-10T11:55:04.610532;heartRate;10
2023-01-10T11:55:05.614281;heartRate;4
2023-01-10T11:55:06.618051;heartRate;26
2023-01-10T11:55:07.622527;heartRate;29
2023-01-10T11:55:08.626512;heartRate;77
2023-01-10T11:55:09.629893;heartRate;79
2023-01-10T11:55:10.633783;heartRate;40
2023-01-10T11:55:11.638369;heartRate;90
2023-01-10T11:55:12.642852;heartRate;95
2023-01-10T11:55:13.646447;heartRate;92
2023-01-10T11:55:14.650263;heartRate;70
2023-01-10T11:55:15.654402;heartRate;35
2023-01-10T11:55:16.658342;heartRate;92
2023-01-10T11:55:17.662073;heartRate;27
2023-01-10T11:55:18.666109;heartRate;42
2023-01-10T11:55:19.670107;heartRate;58
2023-01-10T11:55:20.674423;heartRate;13
2023-01-10T11:55:21.677966;heartRate;100
2023-01-10T11:55:22.681984;heartRate;51
2023-01-10T11:55:23.685641;heartRate;96
2023-01-10T11:55:24.689297;heartRate;61
2023-01-10T11:55:25.692700;heartRate;77
2023-01-10T11:55:26.696472;heartRate;28
2023-01-10T11:55:27.700263;heartRate;63
2023-01-10T11:55:28.704106;heartRate;35
2023-01-10T11:55:29.708275;heartRate;59
2023-01-10T11:55:30.712825;heartRate;94
2023-01-10T11:55:31.716687;heartRate;37
2023-01-10T11:55:32.720497;heartRate;27
2023-01-10T11:55:33.724899;heartRate;39
2023-01-10T11:55:34.729511;heartRate;10
2023-01-10T11:55:35.733032;heartRate;83
