device_char_link_id;timestamp;value;is_sync;id
40;2023-05-16T02:41:55.923041;23;1;5106
40;2023-05-16T02:41:56.931694;66;1;5107
40;2023-05-16T02:41:57.920876;77;1;5108
40;2023-05-16T02:41:58.942972;84;1;5109
40;2023-05-16T02:41:59.906820;67;1;5110
40;2023-05-16T02:42:00.943935;13;1;5111
40;2023-05-16T02:42:01.968409;85;1;5112
40;2023-05-16T02:42:02.992103;98;1;5113
40;2023-05-16T02:42:03.966327;77;1;5114
40;2023-05-16T02:42:04.980498;4;1;5115
40;2023-05-16T02:42:05.960408;20;1;5116
40;2023-05-16T02:42:06.987924;2;1;5117
40;2023-05-16T02:42:08.013892;37;1;5118
40;2023-05-16T02:42:09.036744;20;1;5119
40;2023-05-16T02:42:10.009585;84;1;5120
40;2023-05-16T02:42:11.034163;100;1;5121
40;2023-05-16T02:42:12.004968;59;1;5122
40;2023-05-16T02:42:13.032930;16;1;5123
40;2023-05-16T02:42:14.055662;38;1;5124
40;2023-05-16T02:42:15.079801;74;1;5125
40;2023-05-16T02:42:16.050015;96;1;5126
40;2023-05-16T02:42:17.072745;97;1;5127
40;2023-05-16T02:42:18.092589;86;1;5128
40;2023-05-16T02:42:19.124672;38;1;5129
40;2023-05-16T02:42:20.101132;30;1;5130
40;2023-05-16T02:42:21.117008;91;1;5131
40;2023-05-16T02:42:22.096474;64;1;5132
40;2023-05-16T02:42:23.114981;44;1;5133
40;2023-05-16T02:42:24.145355;95;1;5134
40;2023-05-16T02:42:25.118928;15;1;5135
40;2023-05-16T02:42:26.139613;83;1;5136
40;2023-05-16T02:42:27.111402;72;1;5137
40;2023-05-16T02:42:28.134544;82;1;5138
40;2023-05-16T02:42:29.157611;54;1;5139
40;2023-05-16T02:42:30.140299;63;1;5140
40;2023-05-16T02:42:31.160512;3;1;5141
40;2023-05-16T02:42:32.193237;16;1;5142
40;2023-05-16T02:42:33.169318;73;1;5143
40;2023-05-16T02:42:34.193523;51;1;5144
