timestamp;char_name;value
2023-05-16T03:04:26.092322;heartRate;78
2023-05-16T03:04:27.099904;heartRate;27
2023-05-16T03:04:28.109238;heartRate;47
2023-05-16T03:04:29.118196;heartRate;63
2023-05-16T03:04:30.127018;heartRate;63
2023-05-16T03:04:31.136198;heartRate;69
2023-05-16T03:04:32.145100;heartRate;40
2023-05-16T03:04:33.153258;heartRate;81
2023-05-16T03:04:34.162688;heartRate;50
2023-05-16T03:04:35.171401;heartRate;15
2023-05-16T03:04:36.179906;heartRate;28
2023-05-16T03:04:37.189337;heartRate;40
2023-05-16T03:04:38.198344;heartRate;97
2023-05-16T03:04:39.206821;heartRate;26
2023-05-16T03:04:40.215482;heartRate;62
2023-05-16T03:04:41.223821;heartRate;33
2023-05-16T03:04:42.232086;heartRate;19
2023-05-16T03:04:43.240962;heartRate;20
2023-05-16T03:04:44.249730;heartRate;51
2023-05-16T03:04:45.258753;heartRate;27
2023-05-16T03:04:46.267462;heartRate;46
2023-05-16T03:04:47.276156;heartRate;25
2023-05-16T03:04:48.284917;heartRate;25
2023-05-16T03:04:49.293483;heartRate;15
2023-05-16T03:04:50.302291;heartRate;90
2023-05-16T03:04:51.310599;heartRate;55
2023-05-16T03:04:52.320323;heartRate;48
2023-05-16T03:04:53.329568;heartRate;72
2023-05-16T03:04:54.338442;heartRate;47
2023-05-16T03:04:55.346358;heartRate;4
2023-05-16T03:04:56.355337;heartRate;93
2023-05-16T03:04:57.364078;heartRate;7
2023-05-16T03:04:58.373459;heartRate;24
2023-05-16T03:04:59.382481;heartRate;59
2023-05-16T03:05:00.389065;heartRate;44
2023-05-16T03:05:01.397032;heartRate;11
2023-05-16T03:05:02.407046;heartRate;94
2023-05-16T03:05:03.416459;heartRate;98
2023-05-16T03:05:04.425563;heartRate;7
2023-05-16T03:05:05.434012;heartRate;91
2023-05-16T03:05:06.443836;heartRate;100
2023-05-16T03:05:07.453349;heartRate;31
2023-05-16T03:05:08.463920;heartRate;61
2023-05-16T03:05:09.472916;heartRate;53
2023-05-16T03:05:10.482648;heartRate;77
2023-05-16T03:05:11.491668;heartRate;7
2023-05-16T03:05:12.500586;heartRate;5
2023-05-16T03:05:13.509530;heartRate;18
2023-05-16T03:05:14.518555;heartRate;45
2023-05-16T03:05:15.527766;heartRate;98
2023-05-16T03:05:16.536831;heartRate;58
2023-05-16T03:05:17.545138;heartRate;33
2023-05-16T03:05:18.554729;heartRate;75
2023-05-16T03:05:19.563251;heartRate;31
2023-05-16T03:05:20.572067;heartRate;52
2023-05-16T03:05:21.580249;heartRate;94
2023-05-16T03:05:22.589263;heartRate;83
2023-05-16T03:05:23.597928;heartRate;63
2023-05-16T03:05:24.606319;heartRate;42
2023-05-16T03:05:25.613046;heartRate;7
2023-05-16T03:05:26.621439;heartRate;93
2023-05-16T03:05:27.626973;heartRate;19
2023-05-16T03:05:28.634652;heartRate;24
2023-05-16T03:05:29.642721;heartRate;93
2023-05-16T03:05:30.651836;heartRate;68
2023-05-16T03:05:31.661085;heartRate;97
2023-05-16T03:05:32.669758;heartRate;36
2023-05-16T03:05:33.678496;heartRate;85
2023-05-16T03:05:34.687420;heartRate;76
2023-05-16T03:05:35.695824;heartRate;83
2023-05-16T03:05:36.705020;heartRate;3
2023-05-16T03:05:37.715325;heartRate;17
2023-05-16T03:05:38.724441;heartRate;79
2023-05-16T03:05:39.733487;heartRate;89
2023-05-16T03:05:40.741931;heartRate;64
2023-05-16T03:05:41.750628;heartRate;37
2023-05-16T03:05:42.759830;heartRate;51
2023-05-16T03:05:43.767243;heartRate;91
2023-05-16T03:05:44.777197;heartRate;74
2023-05-16T03:05:45.786081;heartRate;99
2023-05-16T03:05:46.792750;heartRate;47
